step,lr,loss
2176,0.0003,3.7666
2304,0.0003,3.7202
2432,0.0003,3.677
2560,0.0003,3.6507
2688,0.0003,3.6155
2816,0.0003,3.5861
2944,0.0003,3.5619
3072,0.0003,3.5377
3200,0.0003,3.5171
3328,0.0003,3.499
3456,0.0003,3.4801
3584,0.0003,3.4654
3712,0.0003,3.4505
3840,0.0003,3.4352
3968,0.0003,3.4243
4096,0.0003,3.4092
4224,0.0003,3.3982
4352,0.0003,3.3891
4480,0.0003,3.3759
4608,0.0003,3.3661
4736,0.0003,3.3588
4864,0.0003,3.3502
4992,0.0003,3.3423
5120,0.0003,3.3336
5248,0.0003,3.3243
5376,0.0003,3.3171
5504,0.0003,3.3096
5632,0.0003,3.3034
5760,0.0003,3.2964
5888,0.0003,3.2916
6016,0.0003,3.2851
6144,0.0003,3.2797
6272,0.0003,3.2729
6400,0.0003,3.268
6528,0.0003,3.2622
6656,0.0003,3.2591
6784,0.0003,3.253
6912,0.0003,3.2498
7040,0.0003,3.2438
7168,0.0003,3.2422
7296,0.0003,3.2359
7424,0.0003,3.2316
7552,0.0003,3.2273
7680,0.0003,3.2245
7808,0.0003,3.2206
7936,0.0003,3.2169
8064,0.0003,3.212
8192,0.0003,3.2083
8320,0.0003,3.2057
8448,0.0003,3.2035
8576,0.0003,3.1989
8704,0.0003,3.1954
8832,0.0003,3.1942
8960,0.0003,3.1887
9088,0.0003,3.1871
9216,0.0003,3.1834
9344,0.0003,3.1803
9472,0.0003,3.1812
9600,0.0003,3.1763
9728,0.0003,3.1751
9856,0.0003,3.1728
9984,0.0003,3.1687
10112,0.0003,3.1663
10240,0.0003,3.1636
10368,0.0003,3.1607
10496,0.0003,3.1582
10624,0.0003,3.1562
10752,0.0003,3.1541
10880,0.0003,3.1515
11008,0.0003,3.1511
11136,0.0003,3.1482
11264,0.0003,3.1453
11392,0.0003,3.1427
11520,0.0003,3.1427
11648,0.0003,3.1396
11776,0.0003,3.1371
11904,0.0003,3.1355
12032,0.0003,3.1335
12160,0.0003,3.1318
12288,0.0003,3.13
12416,0.0003,3.1288
12544,0.0003,3.1272
12672,0.0003,3.1245
12800,0.0003,3.1232
12928,0.0003,3.1214
13056,0.0003,3.1219
13184,0.0003,3.1188
13312,0.0003,3.118
13440,0.0003,3.1148
13568,0.0003,3.1136
13696,0.0003,3.112
13824,0.0003,3.1115
13952,0.0003,3.109
14080,0.0003,3.1078
14208,0.0003,3.1068
14336,0.0003,3.1063
14464,0.0003,3.1033
14592,0.0003,3.1015
14720,0.0003,3.1019
14848,0.0003,3.1001
14976,0.0003,3.099
15104,0.0003,3.0974
15232,0.0003,3.0961
15360,0.0003,3.0955
15488,0.0003,3.0947
15616,0.0003,3.0914
15744,0.0003,3.0906
15872,0.0003,3.0892
16000,0.0003,3.0878
16128,0.0003,3.0876
16256,0.0003,3.087
16384,0.0003,3.0845
16512,0.0003,3.0825
16640,0.0003,3.0828
16768,0.0003,3.0819
16896,0.0003,3.0816
17024,0.0003,3.0797
17152,0.0003,3.079
17280,0.0003,3.0777
17408,0.0003,3.0759
17536,0.0003,3.0759
17664,0.0003,3.0734
17792,0.0003,3.0735
17920,0.0003,3.0719
18048,0.0003,3.0711
18176,0.0003,3.0701
18304,0.0003,3.0697
18432,0.0003,3.0685
18560,0.0003,3.0671
18688,0.0003,3.0671
18816,0.0003,3.0659
18944,0.0003,3.0651
19072,0.0003,3.0647
19200,0.0003,3.0626
19328,0.0003,3.0634
19456,0.0003,3.0619
19584,0.0003,3.061
19712,0.0003,3.0609
19840,0.0003,3.0608
19968,0.0003,3.0573
20096,0.0003,3.0577
20224,0.0003,3.0562
20352,0.0003,3.0551
20480,0.0003,3.0542
20608,0.0003,3.0535
20736,0.0003,3.0522
20864,0.0003,3.0534
20992,0.0003,3.0508
21120,0.0003,3.0516
21248,0.0003,3.0498
21376,0.0003,3.0497
21504,0.0003,3.0491
21632,0.0003,3.0479
21760,0.0003,3.0474
21888,0.0003,3.0461
22016,0.0003,3.0457
22144,0.0003,3.0443
22272,0.0003,3.0446
22400,0.0003,3.0439
22528,0.0003,3.042
22656,0.0003,3.0412
22784,0.0003,3.0408
22912,0.0003,3.0412
23040,0.0003,3.0413
23168,0.0003,3.041
23296,0.0003,3.0407
23424,0.0003,3.0386
23552,0.0003,3.0382
23680,0.0003,3.0372
23808,0.0003,3.0365
23936,0.0003,3.0354
